chitin cuirass,Chitin Cuirass
T_Imp_ColIron1_PauldronL_04,<Deprecated>
T_Imp_ColIron1_PauldronR_01,<Deprecated>
T_Imp_ColIron1_PauldronR_02,<Deprecated>
T_Imp_ColIron1_PauldronR_03,<Deprecated>
T_Imp_ColIron1_PauldronR_04,<Deprecated>
T_Imp_ColIron2_Boots_01,<Deprecated>
T_Imp_ColIron2_BracerL_01,<Deprecated>
T_Imp_ColIron2_BracerR_01,<Deprecated>
T_Imp_ColIron2_Cuirass_01,<Deprecated>
T_Imp_ColIron2_Greaves_01,<Deprecated>
T_Imp_ColIron2_Helm_01,<Deprecated>
T_Imp_ColIron2_PauldronL_01,<Deprecated>
T_Imp_ColIron2_PauldronR_01,<Deprecated>
T_Imp_ColIron_Boots_01,Colovian Iron Boots
T_Imp_ColIron_BracerL_01,Colovian Iron Left Bracer
T_Imp_ColIron_BracerR_01,Colovian Iron Right Bracer
T_Imp_ColIron_Cuirass_01,Colovian Iron Cuirass
T_Imp_ColIron_Greaves_01,Colovian Iron Greaves
T_Imp_ColIron_Helmet_01,Colovian Iron Helmet
T_Imp_ColIron_Helmet_02,Colovian Iron Helmet
T_Imp_ColIron_PauldronL_01,Colovian Iron Left Paldron
T_Imp_ColIron_PauldronR_01,Colovian Iron Right Pauldron
T_Imp_ColSteel1_Boots_01,<Deprecated>
T_Imp_ColSteel1_Boots_02,<Deprecated>
T_Imp_ColSteel1_Boots_03,<Deprecated>
T_Imp_ColSteel1_Boots_04,<Deprecated>
T_Imp_ColSteel1_BracerL_01,<Deprecated>
T_Imp_ColSteel1_BracerL_02,<Deprecated>
T_Imp_ColSteel1_BracerL_03,<Deprecated>
T_Imp_ColSteel1_BracerL_04,<Deprecated>
T_Imp_ColSteel1_BracerR_01,<Deprecated>
T_Imp_ColSteel1_BracerR_02,<Deprecated>
T_Imp_ColSteel1_BracerR_03,<Deprecated>
T_Imp_ColSteel1_BracerR_04,<Deprecated>
T_Imp_ColSteel1_Cuirass_01,<Deprecated>
T_Imp_ColSteel1_Cuirass_02,<Deprecated>
T_Imp_ColSteel1_Cuirass_03,<Deprecated>
T_Imp_ColSteel1_Cuirass_04,<Deprecated>
T_Imp_ColSteel1_Greaves_01,<Deprecated>
T_Imp_ColSteel1_Greaves_02,<Deprecated>
T_Imp_ColSteel1_Greaves_03,<Deprecated>
T_Imp_ColSteel1_Greaves_04,<Deprecated>
T_Imp_ColSteel1_Helm_01,<Deprecated>
T_Imp_ColSteel1_Helm_02,<Deprecated>
T_Imp_ColSteel1_Helm_03,<Deprecated>
T_Imp_ColSteel1_Helm_04,<Deprecated>
T_Imp_ColSteel1_PauldronL_01,<Deprecated>
T_Imp_ColSteel1_PauldronL_02,<Deprecated>
T_Imp_ColSteel1_PauldronL_03,<Deprecated>
T_Imp_ColSteel1_PauldronL_04,<Deprecated>
T_Imp_ColSteel1_PauldronR_01,<Deprecated>
T_Imp_ColSteel1_PauldronR_02,<Deprecated>
T_Imp_ColSteel1_PauldronR_03,<Deprecated>
T_Imp_ColSteel1_PauldronR_04,<Deprecated>
T_Imp_ColSteel_Boots_01,Colovian Steel Boots
T_Imp_ColSteel_Boots_02,Kvetchi Steel Boots
T_Imp_ColSteel_Boots_03,Oloman Steel Boots
T_Imp_ColSteel_Boots_04,Skingrad Steel Boots
T_Imp_ColSteel_BracerL_03,Oloman Steel Left Bracer
T_Imp_ColSteel_BracerL_04,Skingrad Steel Left Bracer
T_Imp_ColSteel_BracerR_03,Oloman Steel Right Bracer
T_Imp_ColSteel_BracerR_04,Skingrad Steel Right Bracer
T_Imp_ColSteel_Cuirass_01,Colovian Steel Cuirass
T_Imp_ColSteel_Cuirass_02,Kvetchi Steel Cuirass
T_Imp_ColSteel_Cuirass_03,Oloman Steel Cuirass
T_Imp_ColSteel_Cuirass_04,Skingrad Steel Cuirass
T_Imp_ColSteel_GauntletL_01,Colovian Steel Left Gauntlet
T_Imp_ColSteel_GauntletL_02,Kvetchi Steel Left Gauntlet
T_Imp_ColSteel_GauntletR_01,Colovian Steel Right Gauntlet
T_Imp_ColSteel_GauntletR_02,Kvetchi Steel Right Gauntlet
T_Imp_ColSteel_Greaves_01,Colovian Steel Greaves
T_Imp_ColSteel_Greaves_02,Kvetchi Steel Greaves
T_Imp_ColSteel_Greaves_03,Oloman Steel Greaves
T_Imp_ColSteel_Greaves_04,Skingrad Steel Greaves
T_Imp_ColSteel_Helm_01,Colovian Steel Helm
T_Imp_ColSteel_Helm_02,Kvetchi Steel Helm
T_Imp_ColSteel_Helm_03,Oloman Steel Helm
T_Imp_ColSteel_Helm_04,Skingrad Steel Helm
T_Imp_ColSteel_Helm_05,Colovian Steel Helm
T_Imp_ColSteel_Helm_06,Kvetchi Steel Helm
T_Imp_ColSteel_PauldronL_01,Colovian Steel Left Pauldron
T_Imp_ColSteel_PauldronL_02,Kvetchi Steel Left Pauldron
T_Imp_ColSteel_PauldronL_03,Oloman Steel Left Pauldron
T_Imp_ColSteel_PauldronL_04,Skingrad Steel Left Pauldron
T_Imp_ColSteel_PauldronR_01,Colovian Steel Right Pauldron
T_Imp_ColSteel_PauldronR_02,Kvetchi Steel Right Pauldron
T_Imp_ColSteel_PauldronR_03,Oloman Steel Right Pauldron
T_Imp_ColSteel_PauldronR_04,Skingrad Steel Right Pauldron
T_Imp_Domina_Boots_01,Domina Boots
T_Imp_Domina_Cuirass_01,Domina Cuirass
T_Imp_Domina_GauntletL_01,Domina Left Gauntlet
T_Imp_Domina_GauntletR_01,Domina Right Gauntlet
T_Imp_Domina_Greaves_01,Domina Greaves
T_Imp_Domina_Helm_01,Domina Helmet
T_Imp_Domina_PauldronL_01,Domina Left Pauldron
T_Imp_Domina_PauldronR_01,Domina Right Pauldron
T_Imp_Dragonscale_BarcerL_01,Dragonscale Left Bracer
T_Imp_Dragonscale_BarcerR_01,Dragonscale Right Bracer
T_Imp_Dragonscale_Boots_01,Dragonscale Boots
T_Imp_Dragonscale_cuirass_01,Dragonscale Cuirass
T_Imp_Dragonscale_Greaves_01,Dragonscale Greaves
T_Imp_Dragonscale_helm_01,Dragonscale Helm
T_Imp_Dragonscale_PauldronL_01,Dragonscale Left Pauldron
T_Imp_Dragonscale_PauldronR_01,Dragonscale Right Pauldron
T_Imp_Ebony_Boots,Imperial Ebony Boots
T_Imp_Ebony_BracerL,Imperial Ebony Left Bracer
T_Imp_Ebony_BracerR,Imperial Ebony Right Bracer
T_Imp_Ebony_Cuirass,Imperial Ebony Cuirass
T_Imp_Ebony_Helmet_01,Imperial Ebony Helm
T_Imp_Ebony_PauldronL,Imperial Ebony Left Pauldron
T_Imp_Ebony_PauldronR,Imperial Ebony Right Pauldron
T_Imp_Ebony_ShieldTower_01,Imperial Ebony Shield
T_Imp_Ep_Hat_02,Expensive Imperial Cap
T_Imp_Ep_HatColWest_01,Expensive Leather Hat
T_Imp_Ep_HatColWest_02,Expensive Leather Hat
T_Imp_Et_HatColNorth_01,Extravagant Colovian Hat
T_Imp_Et_HatColNorth_02,Extravagant Colovian Hat
T_Imp_Et_HatColNorth_03,Extravagant Colovian Hat
T_Imp_Et_HatColNorth_04,Extravagant Colovian Hat
T_Imp_Et_HatColNorth_05,Extravagant Colovian Hat
T_Imp_Gold_Boots_02,Imperial Gold Boots
T_Imp_Gold_BracerL_02,Imperial Gold Left Bracer
T_Imp_Gold_BracerR_02,Imperial Gold Right Bracer
T_Imp_Gold_Cuirass_01,Gold Armor Cuirass
T_Imp_Gold_Cuirass_02,Imperial Gold Cuirass
T_Imp_Gold_GauntletL_02,Imperial Gold Left Gauntlet
T_Imp_Gold_GauntletR_02,Imperial Gold Right Gauntlet
T_Imp_Gold_Greaves_02,Imperial Gold Greaves
T_Imp_Gold_Helm_01,Gold Armor Helmet
T_Imp_Gold_Helm_02,Imperial Gold Helm
T_Imp_Gold_PauldronL_01,Gold Armor Left Pauldron
T_Imp_Gold_PauldronL_02,Imperial Gold Left Pauldron
T_Imp_Gold_PauldronR_01,Gold Armor Right Pauldron
T_Imp_Gold_PauldronR_02,Imperial Gold Right Pauldron
T_Imp_Gold_Shield_01,Imperial Gold Shield
T_Imp_Gold_ShieldBuckler_01,Gold Armor Buckler
T_Imp_GuardTown1_Boots_01,Cataphract Steel Boots
T_Imp_GuardTown1_Cuirass_01,Cataphract Mail Cuirass
T_Imp_GuardTown1_GauntletL_01,Cataphract Left Gauntlet
T_Imp_GuardTown1_GauntletR_01,Cataphract Right Gauntlet
T_Imp_GuardTown1_Greaves_01,Cataphract Mail Greaves
T_Imp_GuardTown1_Helm_01,Cataphract Steel Helmet
T_Imp_GuardTown1_HelmAnv_01,Cataphract Steel Helmet
T_Imp_GuardTown1_HelmStr_01,Cataphract Steel Helmet
T_Imp_GuardTown1_HelmSut_01,Cataphract Steel Helmet
T_Imp_GuardTown1_PauldrL_01,Cataphract Left Pauldron
T_Imp_GuardTown1_PauldrR_01,Cataphract Right Pauldron
T_Imp_GuardTown1_ShieldAnv_01,Anvil Guard Shield
T_Imp_GuardTown2_Boots_01,Kalantar Mail Boots
T_Imp_GuardTown2_Cuirass_01,Kalantar Mail Cuirass
T_Imp_GuardTown2_GauntletL_01,Kalantar Left Gauntlet
T_Imp_GuardTown2_GauntletR_01,Kalantar Right Gauntlet
T_Imp_GuardTown2_Greaves_01,Kalantar Greaves
T_Imp_GuardTown2_Helm_01,Kalantar Steel Helmet
T_Imp_GuardTown2_HelmArt_01,Kalantar Steel Helmet
T_Imp_GuardTown2_HelmBru_01,Kalantar Steel Helmet
T_Imp_GuardTown2_HelmCho_01,Kalantar Steel Helmet
T_Imp_GuardTown2_PauldrL_01,Kalantar Left Pauldron
T_Imp_GuardTown2_PauldrR_01,Kalantar Right Pauldron
T_Imp_GuardTown3_Boots_01,Klibanion Steel Boots
T_Imp_GuardTown3_Cuirass_01,Klibanion Mail Cuirass
T_Imp_GuardTown3_GauntletL_01,Klibanion Steel Left Gauntlet
T_Imp_GuardTown3_GauntletR_01,Klibanion Steel Right Gauntlet
T_Imp_GuardTown3_Greaves_01,Klibanion Steel Greaves
T_Imp_GuardTown3_Helm_01,Klibanion Steel Helmet
T_Imp_GuardTown3_HelmKva_01,Klibanion Steel Helmet
T_Imp_GuardTown3_HelmSar_01,Klibanion Steel Helmet
T_Imp_GuardTown3_HelmSkn_01,Klibanion Steel Helmet
T_Imp_GuardTown3_PauldrL_01,Klibanion Mail Left Pauldron
T_Imp_GuardTown3_PauldrR_01,Klibanion Mail Right Pauldron
T_Imp_Mananaut_Helm_01,Imperial Mananaut Helmet
T_Imp_Militia_Boots_01,Militia Steel Boots
T_Imp_Militia_Cuirass_01,Militia Cuirass
T_Imp_Militia_GauntL_01,Militia Left Gauntlet
T_Imp_Militia_GauntR_01,Militia Right Gauntlet
T_Imp_Militia_Greaves_01,Militia Steel Greaves
T_Imp_Militia_Helm_01,Militia Steel Helmet
T_Imp_Militia_PauldronL_01,Militia Steel Left Pauldron
T_Imp_Militia_PauldronR_01,Militia Steel Right Pauldron
T_Imp_MothHerder_Helmet_01,Moth Herder Helmet
T_Imp_NavyOff_Boots_01,Imperial Navy Elite Boots
T_Imp_NavyOff_BracerL_01,Imperial Navy Elite L. Bracer
T_Imp_NavyOff_BracerR_01,Imperial Navy Elite R. Bracer
T_Imp_NavyOff_Cuirass_01,Imperial Navy Elite Cuirass
T_Imp_NavyOff_Greaves_01,Imperial Navy Elite Greaves
T_Imp_NavyOff_Helmet_01,Imperial Navy Elite Helmet
T_Imp_NavyOff_PauldronL_01,Imperial Navy Elite L. Pauldron
T_Imp_NavyOff_PauldronR_01,Imperial Navy Elite R. Pauldron
T_Imp_NavyStud_Boots_01,Imperial Navy Leather Boots
T_Imp_NavyStud_Cuirass_01,Imperial Navy Leather Cuirass
T_Imp_NavyStud_GauntletL_01,Imperial Navy Left Gauntlet
T_Imp_NavyStud_GauntletR_01,Imperial Navy Right Gauntlet
T_Imp_NavyStud_Helm_01,Imperial Navy Leather Helm
T_Imp_NavyStud_PauldrL_01,Imperial Navy Left Pauldron
T_Imp_NavyStud_PauldrR_01,Imperial Navy Right Pauldron
T_Imp_Newtscale_Boots_01,Imperial Newtscale Boots
T_Imp_Newtscale_Cuirass_01,Imperial Newtscale Cuirass
T_Imp_Newtscale_GauntletL_01,Imperial Newtscale L Gauntlet
T_Imp_Newtscale_GauntletR_01,Imperial Newtscale R Gauntlet
T_Imp_Newtscale_Greaves_01,Imperial Newtscale Greaves
T_Imp_Newtscale_Helm_01,Imperial Newtscale Helmet
T_Imp_Newtscale_PauldronL_01,Imperial Newtscale L Pauldron
T_Imp_Newtscale_PauldronR_01,Imperial Newtscale R Pauldron
T_Imp_NibBronze_Boots_01,Nibenese Bronze Boots
T_Imp_NibBronze_BracerL_01,Nibenese Bronze Left Bracer
T_Imp_NibBronze_BracerR_01,Nibenese Bronze Right Bracer
T_Imp_NibBronze_Cuirass_01,Nibenese Bronze Cuirass
T_Imp_NibBronze_Greaves_01,Nibenese Bronze Greaves
T_Imp_NibBronze_Helm_01,Nibenese Bronze Helmet
T_Imp_NibBronze_PauldronL_01,Nibenese Bronze Left Pauldron
T_Imp_NibBronze_PauldronR_01,Nibenese Bronze Right Pauldron
T_Imp_Reman_Boots_01,Reman Legion Boots
T_Imp_Reman_BracerL_01,Reman Legion Left Bracer
T_Imp_Reman_BracerR_01,Reman Legion Right Bracer
T_Imp_Reman_Cuirass_01,Reman Legion Cuirass
T_Imp_Reman_Greaves_01,Reman Legion Greaves
T_Imp_Reman_Helm_01,Reman Legion Helmet
T_Imp_Reman_PauldronL_01,Reman Legion Left Pauldron
T_Imp_Reman_PauldronR_01,Reman Legion Right Pauldron
T_Imp_Reman_Shield_01,Reman Legion Shield
T_Imp_Silver_Boots_01,Imperial Silver Boots
T_Imp_Silver_BracerL_01,Imperial Silver Left Bracer
T_Imp_Silver_BracerR_01,Imperial Silver Right Bracer
T_Imp_Silver_Cap_01,Imperial Silver Cap
T_Imp_Silver_Cap_02,Imperial Silver Cap
T_Imp_Silver_CuirassFW_01,Duchess' Guard Silver Cuirass
T_Imp_Silver_CuirassRed_01,Imperial Silver Cuirass
T_Imp_Silver_Greaves_01,Imperial Silver Greaves
T_Imp_Silver_Helm_Mask,Temple Guard Silver Mask
T_Imp_Silver_PauldronL_01,Imperial Silver Left Pauldron
T_Imp_Silver_PauldronR_01,Imperial Silver Right Pauldron
T_Imp_StuddedLeather_Boots_01,Studded Leather Boots
T_Imp_StuddedLeather_BracerL_01,Studded Leather Left Bracer
T_Imp_StuddedLeather_BracerR_01,Studded Leather Right Bracer
T_Imp_StuddedLeather_cuirass_02,Brena Studded Leather Cuirass
T_Imp_StuddedLeather_cuirass_03,Kreath Studded Leather Cuirass
T_Imp_StuddedLeather_Greaves_01,Studded Leather Greaves
T_Imp_StuddedLeather_Helm_01,Studded Leather Helm
T_Imp_StuddedLeather_Helm_02,Brena Studded Leather Helm
T_Imp_StuddedLeather_Helm_03,Kreath Studded Leather Helm
T_Imp_StuddedLeather_PauldrL_01,Studded Leather Left Pauldron
T_Imp_StuddedLeather_PauldrR_01,Studded Leather Right Pauldron
T_Imp_Templar_ShieldTower_01,Imperial Templar Shield
T_Imp_UNI_BenduOloHelm,Bendu Olo's Helmet
T_Imp_UNI_BlacksmithsHandL,Blacksmith's Left Hand
T_Imp_UNI_BlacksmithsHandR,Blacksmith's Right Hand
T_Imp_UNI_Dragoneye,Dragoneye Helm
T_Imp_UNI_KatariahsDeathMask,Death Mask of Empress Katariah
T_Imp_Uni_NafaalilargusScales,Scales of Nafaalilargus
T_Imp_UNI_Shadowweave,Shadowweave
T_Imp_UNI_UrielShield_01,Shield of the Emperor
T_Imp_UNI_WardofAkavir,Ward of Akavir
T_Imp_Wood_ShieldTower_01,Wooden Tower Shield
T_Nor_Bearskin_Boots_01,Nordic Bearskin Boots
T_Nor_Bearskin_BracerL_01,Nordic Bearskin Left Bracer
T_Nor_Bearskin_BracerL_Claw,Bearclaw of Grizzled Strength
T_Nor_Bearskin_BracerR_01,Nordic Bearskin Right Bracer
T_Nor_Bearskin_BracerR_Claw,Bearclaw of Grizzled Ingenuity
T_Nor_Bearskin_Greaves_01,Nordic Bearskin Greaves
T_Nor_Bearskin_Helm_01,Nordic Bearskin Helm
T_Nor_Bearskin_Helm_Hiber,Helm of Hibernation
T_Nor_Bearskin_PauldronL_01,Nordic Bearskin Left Pauldron
T_Nor_Bearskin_PauldronR_01,Nordic Bearskin Right Pauldron
T_Nor_Companion_Boots_01,Companion Boots
T_Nor_Companion_Cuirass_01,Companion Cuirass
T_Nor_Companion_GauntletL_01,Companion Armor Left Gauntlet
T_Nor_Companion_GauntletR_01,Companion Armor Right Gauntlet
T_Nor_Companion_Greaves_01,Companion Greaves
T_Nor_Companion_Helm_01,Berserker Helmet
T_Nor_Companion_PauldronL_01,Companion Armor Left Pauldron
T_Nor_Companion_PauldronR_01,Companion Armor Right Pauldron
T_Nor_Guard_Boots_01,Nord Guard Boots
T_Nor_Guard_Cuirass_01,Nord Guard Cuirass
T_Nor_Guard_GauntletL_01,Nord Guard Left Gauntlet
T_Nor_Guard_GauntletR_01,Nord Guard Right Gauntlet
T_Nor_Guard_Greaves_01,Nord Guard Greaves
T_Nor_Guard_Helm_01,Nord Guard Helmet
T_Nor_Guard_PauldronL_01,Nord Guard Left Pauldron
T_Nor_Guard_PauldronR_01,Nord Guard Right Pauldron
T_Nor_Iron_Boots_01,Nordic Iron Boots
T_Nor_Iron_Boots_Leap,Boots of Mountain's Leap
T_Nor_Iron_Cuirass_Wintery,Wintery Breastplate
T_Nor_Iron_GauntletL_01,Nordic Iron Left Gauntlet
T_Nor_Iron_GauntletR_01,Nordic Iron Right Gauntlet
T_Nor_Iron_Greaves_01,Nordic Iron Greaves
T_Nor_Iron_PauldronL_01,Nordic Iron Left Pauldron
T_Nor_Iron_PauldronR_01,Nordic Iron Right Pauldron
T_Nor_Ironwood_Shield_01,Ironwood Shield
T_Nor_Ironwood_Shield_02,Black Ironwood Shield
T_Nor_Ringmail_Boots_01,Nordic Ringmail Boots
T_Nor_Ringmail_Boots_02,Nordic Ringmail Boots
T_Nor_Ringmail_BracerL_02,Nordic Ringmail Left Bracer
T_Nor_Ringmail_BracerR_02,Nordic Ringmail Right Bracer
T_Nor_Ringmail_Cuirass_01,Nordic Ringmail Cuirass
T_Nor_Ringmail_Greaves_01,Nordic Ringmail Greaves
T_Nor_Ringmail_Greaves_02,Nordic Ringmail Greaves
T_Nor_Ringmail_Helmet_01,Nordic Ringmail Helmet
T_Nor_Ringmail_Helmet_02,Nordic Ringmail Helmet
T_Nor_Ringmail_PauldronL_02,Nordic Ringmail Left Pauldron
T_Nor_Ringmail_PauldronR_02,Nordic Ringmail Right Pauldron
T_Nor_Sabrecat_Helm_01,Sabre Cat Helmet
T_Nor_Sabrecat_Helm_02,Snow Sabre Cat Helmet
T_Nor_Sabrecat_Helm_Sight,Snowcat's Sight
T_Nor_Steel_Boots_01,Nord Steel Boots
T_Nor_Steel_Cuirass_01,Nord Steel Cuirass
T_Nor_Steel_Cuirass_SteelHearth,Cuirass of Steelhearth
T_Nor_Steel_GauntletL_01,Nord Steel Left Gauntlet
T_Nor_Steel_GauntletR_01,Nord Steel Right Gauntlet
T_Nor_Steel_Greaves_01,Nord Steel Greaves
T_Nor_Steel_Helm_01,Nord Steel Helmet
T_Nor_Steel_PauldronL_01,Nord Steel Left Pauldron
T_Nor_Steel_PauldronR_01,Nord Steel Right Pauldron
T_Nor_Trollbone_Boots_01,Nordic Trollbone Boots
T_Nor_Trollbone_BracerL_01,Nordic Trollbone Left Bracer
T_Nor_Trollbone_BracerR_01,Nordic Trollbone Right Bracer
T_Nor_Trollbone_Greaves_01,Nordic Trollbone Greaves
T_Nor_Trollbone_Greaves_Vigor,Troll's Vigor
T_Nor_Trollbone_PauldronL_01,Nordic Trollbone Left Pauldron
T_Nor_Trollbone_PauldronR_01,Nordic Trollbone Right Pauldron
T_Nor_UNI_Kvisahjaelmur,Kvisahjaelmur
T_Nor_UNI_PredatorsGrace,Predator's Grace
T_Nor_UNI_SnowDrakePelt,Snow Drake's Pelt
T_Nor_UNI_TargeBlooded,Targe of the Blooded
T_Nor_Wood_Shield_01,Round Shield
T_Nor_Wood_Shield_02,Round Shield
T_Nor_Wood_Shield_03,Round Shield
T_Nor_Wood_ShieldBuckler_01,Wooden Shield
T_Nor_Wood_ShieldBuckler_02,Wooden Shield
T_Nor_Wood_ShieldBuckler_03,Wooden Shield
T_Nor_Wood_ShieldBuckler_04,Wooden Shield
T_Nor_Wood_ShieldBuckler_05,Wooden Shield
T_Nor_Wood_ShieldBuckler_06,Wooden Shield
T_Nor_Wood_ShieldBuckler_07,Wooden Shield
T_Nor_Wood_ShieldBuckler_08,Wooden Shield
T_Orc_Leather_Boots_01,Orc Leather Boots
T_Orc_Leather_Cuirass_01,Orc Leather Cuirass
T_Orc_Leather_GauntletL_01,Orc Leather Left Gauntlet
T_Orc_Leather_GauntletR_01,Orc Leather Right Gauntlet
T_Orc_Leather_Greaves_01,Orc Leather Greaves
T_Orc_Leather_Helm_01,Orc Leather Helmet
T_Orc_Leather_PauldronL_01,Orc Leather Left Pauldron
T_Orc_Leather_PauldronR_01,Orc Leather Right Pauldron
T_Orc_Regular_HelmOpen_01,Orcish Open Helm
T_QC_Shellmold_Boots_01,Shellmold Boots
T_QC_Shellmold_BracerL_01,Shellmold Left Bracer
T_QC_Shellmold_BracerR_01,Shellmold Right Bracer
T_QC_Shellmold_Cuirass_01,Shellmold Cuirass
T_QC_Shellmold_Greaves_01,Shellmold Greaves
T_QC_Shellmold_Helm_01,Shellmold Helm
T_QC_Shellmold_PauldL_01,Shellmold Left Pauldron
T_QC_Shellmold_PauldR_01,Shellmold Right Pauldron
T_Rea_Leather_Hat_01,Reachmen Hat
T_Rea_Leather_Hat_Witchery,Reachmen Cap of Witchery
T_Rea_UNI_FeatherCrown,Feathered Crown
T_Rea_Wormmouth_Boots_01,Wormmouth Boots
T_Rea_Wormmouth_BracerL_01,Wormmouth Left Bracer
T_Rea_Wormmouth_BracerR_01,Wormmouth Right Bracer
T_Rea_Wormmouth_Cuirass_01,Wormmouth Cuirass
T_Rea_Wormmouth_Greaves_01,Wormmouth Greaves
T_Rea_Wormmouth_Helm_01,Wormmouth Helmet
T_Rea_Wormmouth_Helm_Poison,Poisonbeak Helmet
T_Rea_Wormmouth_PauldronL_01,Wormmouth Left Pauldron
T_Rea_Wormmouth_PauldronR_01,Wormmouth Right Pauldron
T_Rga_Alikr_Buckler,Alik'r Buckler
T_Rga_CrownGuard1_Boots_01,Crown Chain Boots
T_Rga_CrownGuard1_Cuirass_01,Crown Chain Mail
T_Rga_CrownGuard1_Greaves_01,Crown Chain Greaves
T_Rga_CrownGuard1_Helm_01,Crown Chain Helmet
T_Rga_CrownGuard1_PauldronL_01,Crown Chain Left Pauldron
T_Rga_CrownGuard1_PauldronR_01,Crown Chain Right Pauldron
T_Rga_Ep_Headdress_01,Expensive Redguard Hat
T_Rga_Lamellar_Bracer_L_01,Redguard Lamellar Left Bracer
T_Rga_Lamellar_Bracer_R_01,Redguard Lamellar Right Bracer
T_Rga_Lamellar_Cuirass,Redguard Lamellar Cuirass
T_Rga_Lamellar_Cuirass_B,Redguard Lamellar Cuirass
T_Rga_Lamellar_Cuirass_G,Redguard Lamellar Cuirass
T_Rga_Lamellar_Cuirass_Y,Redguard Lamellar Cuirass
T_Rga_Lamellar_Helm,Redguard Lamellar Helmet
T_Rga_Lamellar_Helm_B,Redguard Lamellar Helmet
T_Rga_Lamellar_Helm_G,Redguard Lamellar Helmet
T_Rga_Lamellar_Helm_Y,Redguard Lamellar Helmet
T_Rga_Wicker_Shield,Redguard Wicker Shield
Sky_iRe_DH_RaindropBoots,Raindrop Boots
Sky_iRe_DH_TsunsLeftArm,Tsun's Left Arm
Sky_iRe_DH_TsunsRightArm,Tsun's Right Arm
Sky_iRe_DSE_HelmetTirasch,Helmet of Tirasch
Sky_iRe_DSE_TanyinCuirass,Tanyin's Cuirass
Sky_iRe_DSW_Galewrapped,Galewrapped Cuirass
Sky_iRe_DSW_VeteransHelm,Veteran's Helm
Sky_iRe_KW_HelmetAngar,Helmet of Angar Blood-Beard
Sky_iRe_KW_HelmSoftStep,Helm of Soft Step
Sky_iRe_KW_HelmVitalization,Helm of Vitalization
Sky_iRe_KW_OrcChestIron,Orc Chest of Iron
Sky_iRe_LH_ChargingBoar,Shield of the Charging Boar
Sky_iRe_VF_AlikrDustBoots,Alik'r Dust Boots
Sky_qRe_DSE4_EdricShield,Edric's Shield
Sky_qRe_KG1_KerlingroffHelm,Kerlingroff Helmet
Sky_qRe_KG5_Bracer,Bracer of the Sudden Storm
Sky_qRe_KWTG7_Heirloom,Redguard Family Heirloom
Sky_qRe_MAI1_Boots,Fitted Wormmouth Boots
Sky_qRe_MAI1_BracerL,Fitted Wormmouth Left Bracer
Sky_qRe_MAI1_BracerR,Fitted Wormmouth Right Bracer
Sky_qRe_MAI1_Cuirass,Fitted Wormmouth Cuirass
Sky_qRe_MAI1_Greaves,Fitted Wormmouth Greaves
Sky_qRe_MAI1_Helm,Fitted Wormmouth Helmet
Sky_qRe_MAI1_PauldronL,Fitted Wormmouth Left Pauldron
Sky_qRe_MAI1_PauldronR,Fitted Wormmouth Right Pauldron
Sky_qRe_MAI4_Boots,Rainwatcher's Boots
TR_a-m2-56-gashcrown,Gashcrown
TR_a_i3-737_Tarons_Reach,Captain Taron's Reach
TR_Alandro_towershield,Alandro's Shield
TR_i2-235_bonemold_towershield,Bonemold Tower Shield
TR_i2-235_dragonscale_tower,Dragonscale Tower Shield
TR_i2-235_dwemer_shield,Dwemer Shield
TR_i2-235_goblin_shield,Goblin Buckler
TR_i2-235_imperial shield,Imperial Shield
TR_i2-235_iron_towershield,Iron Tower Shield
TR_i2-235_steel_towershield,Steel Tower Shield
TR_i2-410_a_dres_cuirass_broken,Native Gah'Kogo Cuirass
TR_i3-280_a_ProvocativeHelm,Provocative Helmet
TR_i3-649_imp shield nopickup,Imperial Shield
TR_m1_Ench_Shield_i62,Lleneris Darys' Shield
TR_m1_Ench_Shield_i62_free,Lleneris Darys' Shield
TR_m1_Ench_Towershield,Mirror Shield
TR_m1_FW_WizardRestraintL,Left Wizard's Shackle
TR_m1_FW_WizardRestraintR,Right Wizard's Shackle
TR_m1_FWMG_BootsOfCapacity,Boots of Capacity
TR_m1_g_boots_jump,Acrobat's Boots
TR_m1_Goblin_Trophy,Goblin Slayer's Trophy
TR_m1_GrazgobShield,Grazgob gro-Muzbog's Shield
TR_m1_molecrab_cuirass_protect,Molecrab Cuirass of Fortitude
TR_m1_q_GadavesGreaves,Gadaves' Dreugh Greaves
TR_m1_q_RanShield1,Iron Shield
TR_m1_q_RanShield2,Iron Shield
TR_m1_raptures fist,Rapture's Fist
TR_m1_silver_duchguard_cuirass,Duchess' Guard Silver Cuirass
TR_m2_a_Crabwalker_boots,Boots of the Crabwalker
TR_m2_a_explorer_boots,Boots of the Explorer
TR_m2_a_Gidaves'_Bracer,Gidaves' Bracer
TR_m2_a_Lzigat_PauldL_Uni,Left Pauldron of Lzigat
TR_m2_a_Lzigat_PauldR_Uni,Right Pauldron of Lzigat
TR_m2_a_RepairHelm_uni,Dwemer Mechanic's Headgear
TR_m2_face_hortator_uni,Face of the Hortator
TR_M2_MG_Lamp_Kaishi_Cuirass,Cuirass of Star's Benison
TR_m2_q_22_CursedShield,Dwemer Shield
TR_m2_q_22_CursedShieldEx,Dwemer Shield
TR_m2_q_22_CursedShieldEx2,Dwemer Shield
TR_m2_q_27_SBheelkur,Heel-Kur's Left Slave Bracer
